231709267,05/04/2023 12:00:00 AM,04/02/2023 12:00:00 AM,1500,17,Devonshire,1791,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0500 1817 0522 1258 0913,10,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,860,,,8400    KEOKUK                       AV,,34.2226,-118.574
230205822,02/09/2023 12:00:00 AM,02/09/2023 12:00:00 AM,1115,02,Rampart,0204,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1906 0432 0913 1817,25,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AA,Adult Arrest,956,,,,600    IMOGEN                       AV,,34.0807,-118.2843
232006341,01/24/2023 12:00:00 AM,01/24/2023 12:00:00 AM,0810,20,Olympic,2074,2,354,THEFT OF IDENTITY,0100 0344 0922 1822,34,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,1600 S  NORMANDIE                    AV,,34.0437,-118.3029
231518857,12/12/2023 12:00:00 AM,12/12/2023 12:00:00 AM,2050,15,N Hollywood,1586,2,624,BATTERY - SIMPLE ASSAULT,1822 0444,0,M,H,912,MTA - RED LINE - UNIVERSAL CITY/STUDIO CITY,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,3900    LANKERSHIM                   BL,,34.1393,-118.362
230904532,01/16/2023 12:00:00 AM,01/14/2023 12:00:00 AM,2315,09,Van Nuys,0941,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0446,33,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,5800    KESTER                       AV,,34.1757,-118.4574
230410639,07/22/2023 12:00:00 AM,07/18/2023 12:00:00 AM,2000,04,Hollenbeck,0427,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,4700    GAMBIER                      ST,,34.0809,-118.1819
230611011,06/11/2023 12:00:00 AM,06/01/2023 12:00:00 AM,2000,06,Hollywood,0644,2,662,"BUNCO, GRAND THEFT",0913 0344 0800,57,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AA,Adult Arrest,662,,,,1400 N  ALTA VISTA                   BL,,34.0964,-118.3471
231417732,09/23/2023 12:00:00 AM,09/23/2023 12:00:00 AM,0430,14,Pacific,1432,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0446 0400 0342 1309 0326 1313 0429 1822,22,M,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230,,,,1500    ABBOT KINNEY                 BL,,33.9934,-118.46
231914316,09/19/2023 12:00:00 AM,09/14/2023 12:00:00 AM,0803,19,Mission,1998,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),1822 0325,0,M,O,405,CLOTHING STORE,,,IC,Invest Cont,442,,,,7800    VAN NUYS                     BL,,34.2153,-118.4409
231107690,04/10/2023 12:00:00 AM,03/28/2023 12:00:00 AM,1025,11,Northeast,1143,2,354,THEFT OF IDENTITY,1822 0100 1501,59,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,3800    TRACY                        ST,,34.106,-118.2756
